"","location","forecast_date","target_end_date","target_type","model","horizon","quantile_level","prediction","observed"
"110",1100015,2021-05-31,2021-08-31,"log_cases","GAM",3,0.95,0.839316299893344,0
"111",1100015,2021-02-28,2021-08-31,"log_cases","GAM",6,0.05,-4.75222766486122,0
"112",1100015,2021-02-28,2021-08-31,"log_cases","GAM",6,0.1,-4.58041400513755,0
"113",1100015,2021-02-28,2021-08-31,"log_cases","GAM",6,0.5,-3.94719392713713,0
"114",1100015,2021-02-28,2021-08-31,"log_cases","GAM",6,0.9,-3.30770060008362,0
"115",1100015,2021-02-28,2021-08-31,"log_cases","GAM",6,0.95,-3.15963122958869,0
"116",1100015,2021-08-31,2021-09-30,"log_cases","GAM",1,0.05,1.45317043719034,1.09861228866811
"117",1100015,2021-08-31,2021-09-30,"log_cases","GAM",1,0.1,1.63155878194844,1.09861228866811
"118",1100015,2021-08-31,2021-09-30,"log_cases","GAM",1,0.5,2.33838672873138,1.09861228866811
"119",1100015,2021-08-31,2021-09-30,"log_cases","GAM",1,0.9,2.97120258754885,1.09861228866811
"120",1100015,2021-08-31,2021-09-30,"log_cases","GAM",1,0.95,3.14545330440186,1.09861228866811
"121",1100015,2021-06-30,2021-09-30,"log_cases","GAM",3,0.05,1.72539433635905,1.09861228866811
"122",1100015,2021-06-30,2021-09-30,"log_cases","GAM",3,0.1,1.84951765425515,1.09861228866811
"123",1100015,2021-06-30,2021-09-30,"log_cases","GAM",3,0.5,2.48750272694022,1.09861228866811
"124",1100015,2021-06-30,2021-09-30,"log_cases","GAM",3,0.9,3.0871217761418,1.09861228866811
"125",1100015,2021-06-30,2021-09-30,"log_cases","GAM",3,0.95,3.28476552242547,1.09861228866811
"126",1100015,2021-03-31,2021-09-30,"log_cases","GAM",6,0.05,-4.71195318622951,1.09861228866811
"127",1100015,2021-03-31,2021-09-30,"log_cases","GAM",6,0.1,-4.54126351427024,1.09861228866811
"128",1100015,2021-03-31,2021-09-30,"log_cases","GAM",6,0.5,-3.95202713480485,1.09861228866811
"129",1100015,2021-03-31,2021-09-30,"log_cases","GAM",6,0.9,-3.34034834361513,1.09861228866811
"130",1100015,2021-03-31,2021-09-30,"log_cases","GAM",6,0.95,-3.13151015515493,1.09861228866811
"131",1100015,2021-09-30,2021-10-31,"log_cases","GAM",1,0.05,1.00012435775946,0
"132",1100015,2021-09-30,2021-10-31,"log_cases","GAM",1,0.1,1.16339970217473,0
"133",1100015,2021-09-30,2021-10-31,"log_cases","GAM",1,0.5,1.84269887452423,0
"134",1100015,2021-09-30,2021-10-31,"log_cases","GAM",1,0.9,2.48729097186868,0
"135",1100015,2021-09-30,2021-10-31,"log_cases","GAM",1,0.95,2.68779414753759,0
"136",1100015,2021-07-31,2021-10-31,"log_cases","GAM",3,0.05,2.87057038272653,0
"137",1100015,2021-07-31,2021-10-31,"log_cases","GAM",3,0.1,3.01862146037853,0
"138",1100015,2021-07-31,2021-10-31,"log_cases","GAM",3,0.5,3.61892511736956,0
"139",1100015,2021-07-31,2021-10-31,"log_cases","GAM",3,0.9,4.22578485006926,0
"140",1100015,2021-07-31,2021-10-31,"log_cases","GAM",3,0.95,4.38966843593488,0
"141",1100015,2021-04-30,2021-10-31,"log_cases","GAM",6,0.05,-0.976639413728496,0
"142",1100015,2021-04-30,2021-10-31,"log_cases","GAM",6,0.1,-0.790480053358842,0
"143",1100015,2021-04-30,2021-10-31,"log_cases","GAM",6,0.5,-0.0958596543759558,0
"144",1100015,2021-04-30,2021-10-31,"log_cases","GAM",6,0.9,0.534658770049221,0
"145",1100015,2021-04-30,2021-10-31,"log_cases","GAM",6,0.95,0.703259753510956,0
"146",1100015,2021-10-31,2021-11-30,"log_cases","GAM",1,0.05,0.508384785281146,0.693147180559945
"147",1100015,2021-10-31,2021-11-30,"log_cases","GAM",1,0.1,0.69265973611951,0.693147180559945
"148",1100015,2021-10-31,2021-11-30,"log_cases","GAM",1,0.5,1.3900581784474,0.693147180559945
